page_url,page_title,issue_type,severity,recommended_fix,evidence
"/CONTACT/","Contact XIHE | B2B Partnership & Clinical Collaboration","Low word count","medium","Expand the page or merge it with a better-supported sibling page so it has enough substance to rank.","Word count = 176"
"/CONTACT/","Contact XIHE | B2B Partnership & Clinical Collaboration","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.063"
"/","XIHE — Graphene Infrared Technology for Professional Wellness & Recovery","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 72 chars"
"/","XIHE — Graphene Infrared Technology for Professional Wellness & Recovery","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.105"
"/","XIHE — Graphene Infrared Technology for Professional Wellness & Recovery","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/","XIHE — Graphene Infrared Technology for Professional Wellness & Recovery","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/NEWS/Company-Updates/graphene-thermal-clinical-research-ethics-approval.html","Industry Milestone: Graphene Thermal Therapy Enters Clinical Research Stage | XIHE Knowledge","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 92 chars"
"/NEWS/Company-Updates/graphene-thermal-clinical-research-ethics-approval.html","Industry Milestone: Graphene Thermal Therapy Enters Clinical Research Stage | XIHE Knowledge","Missing H1","high","Add one clear H1 that matches the page intent and sits near the top of the main content.","H1 count = 0"
"/NEWS/Company-Updates/graphene-thermal-clinical-research-ethics-approval.html","Industry Milestone: Graphene Thermal Therapy Enters Clinical Research Stage | XIHE Knowledge","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/NEWS/Company-Updates/graphene-thermal-clinical-research-ethics-approval.html","Industry Milestone: Graphene Thermal Therapy Enters Clinical Research Stage | XIHE Knowledge","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/NEWS/Company-Updates/ikkem-partnership.html","XIHE & IKKEM Deepen Collaboration — Next-Generation Graphene Wellness Materials | XIHE Knowledge","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 96 chars"
"/NEWS/Company-Updates/ikkem-partnership.html","XIHE & IKKEM Deepen Collaboration — Next-Generation Graphene Wellness Materials | XIHE Knowledge","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/NEWS/Company-Updates/ikkem-partnership.html","XIHE & IKKEM Deepen Collaboration — Next-Generation Graphene Wellness Materials | XIHE Knowledge","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/NEWS/Company-Updates/ikkem-partnership.html","XIHE & IKKEM Deepen Collaboration — Next-Generation Graphene Wellness Materials | XIHE Knowledge","Insufficient internal links","medium","Add 3-5 contextual internal links and a related-reading block to strengthen the knowledge graph.","Internal content links = 1"
"/NEWS/Company-Updates/national-standard.html","XIHE Participates in Development of China's Graphene Flexible Electrothermal Film Industry Standard | XIHE Knowledge","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 116 chars"
"/NEWS/Company-Updates/national-standard.html","XIHE Participates in Development of China's Graphene Flexible Electrothermal Film Industry Standard | XIHE Knowledge","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/NEWS/Company-Updates/national-standard.html","XIHE Participates in Development of China's Graphene Flexible Electrothermal Film Industry Standard | XIHE Knowledge","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/NEWS/Company-Updates/national-standard.html","XIHE Participates in Development of China's Graphene Flexible Electrothermal Film Industry Standard | XIHE Knowledge","Insufficient internal links","medium","Add 3-5 contextual internal links and a related-reading block to strengthen the knowledge graph.","Internal content links = 1"
"/NEWS/Company-Updates/neural-helmet.html","Introducing Neural Helmet — Next-Generation Cognitive Resonance Platform | XIHE Knowledge","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 89 chars"
"/NEWS/Company-Updates/neural-helmet.html","Introducing Neural Helmet — Next-Generation Cognitive Resonance Platform | XIHE Knowledge","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/NEWS/Company-Updates/neural-helmet.html","Introducing Neural Helmet — Next-Generation Cognitive Resonance Platform | XIHE Knowledge","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/NEWS/Company-Updates/neural-helmet.html","Introducing Neural Helmet — Next-Generation Cognitive Resonance Platform | XIHE Knowledge","Insufficient internal links","medium","Add 3-5 contextual internal links and a related-reading block to strengthen the knowledge graph.","Internal content links = 1"
"/NEWS/Company-Updates/novoselov-cas-foreign-member.html","Konstantin Novoselov, Jiageng Innovation Laboratory Visiting Scholar, Elected CAS Foreign Member | XIHE Knowledge","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 113 chars"
"/NEWS/Company-Updates/novoselov-cas-foreign-member.html","Konstantin Novoselov, Jiageng Innovation Laboratory Visiting Scholar, Elected CAS Foreign Member | XIHE Knowledge","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/NEWS/Company-Updates/novoselov-cas-foreign-member.html","Konstantin Novoselov, Jiageng Innovation Laboratory Visiting Scholar, Elected CAS Foreign Member | XIHE Knowledge","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/NEWS/Company-Updates/novoselov-cas-foreign-member.html","Konstantin Novoselov, Jiageng Innovation Laboratory Visiting Scholar, Elected CAS Foreign Member | XIHE Knowledge","Insufficient internal links","medium","Add 3-5 contextual internal links and a related-reading block to strengthen the knowledge graph.","Internal content links = 1"
"/NEWS/Company-Updates/zheng-nanfeng-neuropsychiatric-research.html","Academician Zheng Nanfeng Launches Research Initiative Exploring Graphene Far-Infrared Applications in Neuropsychiatric Health | XIHE Knowledge","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 143 chars"
"/NEWS/Company-Updates/zheng-nanfeng-neuropsychiatric-research.html","Academician Zheng Nanfeng Launches Research Initiative Exploring Graphene Far-Infrared Applications in Neuropsychiatric Health | XIHE Knowledge","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/NEWS/Company-Updates/zheng-nanfeng-neuropsychiatric-research.html","Academician Zheng Nanfeng Launches Research Initiative Exploring Graphene Far-Infrared Applications in Neuropsychiatric Health | XIHE Knowledge","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/NEWS/","News | Company Updates & Industry Research | XIHE","Missing H1","high","Add one clear H1 that matches the page intent and sits near the top of the main content.","H1 count = 0"
"/NEWS/","News | Company Updates & Industry Research | XIHE","Low word count","medium","Expand the page or merge it with a better-supported sibling page so it has enough substance to rank.","Word count = 88"
"/NEWS/","News | Company Updates & Industry Research | XIHE","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.078"
"/NEWS/Industry-News/graphene-national-strategic-material.html","Graphene Listed as National Strategic Material | Industry News | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 69 chars"
"/NEWS/Industry-News/graphene-national-strategic-material.html","Graphene Listed as National Strategic Material | Industry News | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/NEWS/Industry-News/graphene-national-strategic-material.html","Graphene Listed as National Strategic Material | Industry News | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/NEWS/Industry-News/rise-of-non-pharmacological-healthcare.html","The Rise of Non-Pharmacological Healthcare | Industry Trends | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 67 chars"
"/NEWS/Industry-News/rise-of-non-pharmacological-healthcare.html","The Rise of Non-Pharmacological Healthcare | Industry Trends | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/NEWS/Industry-News/rise-of-non-pharmacological-healthcare.html","The Rise of Non-Pharmacological Healthcare | Industry Trends | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/partnership.html","B2B Graphene Infrared Supplier & OEM Partner | Professional Recovery Technology | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 86 chars"
"/partnership.html","B2B Graphene Infrared Supplier & OEM Partner | Professional Recovery Technology | XIHE","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.128"
"/partnership.html","B2B Graphene Infrared Supplier & OEM Partner | Professional Recovery Technology | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/partnership.html","B2B Graphene Infrared Supplier & OEM Partner | Professional Recovery Technology | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/partnership.html","B2B Graphene Infrared Supplier & OEM Partner | Professional Recovery Technology | XIHE","Insufficient internal links","medium","Add 3-5 contextual internal links and a related-reading block to strengthen the knowledge graph.","Internal content links = 2"
"/PICTURE/button-preview.html","Button Preview — XIHE","Missing meta description","medium","Add a concise 140-160 character meta description that summarizes the page and its primary query intent.","No meta description found"
"/PICTURE/button-preview.html","Button Preview — XIHE","Title too short","medium","Expand the title to clearly state the topic and search intent without sounding vague.","Title length 21 chars"
"/PICTURE/button-preview.html","Button Preview — XIHE","Low word count","medium","Expand the page or merge it with a better-supported sibling page so it has enough substance to rank.","Word count = 130"
"/PICTURE/button-preview.html","Button Preview — XIHE","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.085"
"/PRODUCTS/CABIN/cabin.html","XIHE CABIN — Precision-Engineered Photon Resonance Chamber | Mitochondrial Wellness for Clinics","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 95 chars"
"/PRODUCTS/CABIN/cabin.html","XIHE CABIN — Precision-Engineered Photon Resonance Chamber | Mitochondrial Wellness for Clinics","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.111"
"/PRODUCTS/CABIN/cabin.html","XIHE CABIN — Precision-Engineered Photon Resonance Chamber | Mitochondrial Wellness for Clinics","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/PRODUCTS/CAPSULE/capsule-b2b.html","XIHE CAPSULE — 6-in-1 Graphene Photon Energy Capsule | B2B Commercial","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 69 chars"
"/PRODUCTS/CAPSULE/capsule-b2b.html","XIHE CAPSULE — 6-in-1 Graphene Photon Energy Capsule | B2B Commercial","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.145"
"/PRODUCTS/CAPSULE/capsule-b2b.html","XIHE CAPSULE — 6-in-1 Graphene Photon Energy Capsule | B2B Commercial","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/PRODUCTS/FILM/GrapheneFilm.html","XIHE High-Performance Graphene Heating Module — B2B Technical Specification","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 75 chars"
"/PRODUCTS/FILM/GrapheneFilm.html","XIHE High-Performance Graphene Heating Module — B2B Technical Specification","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.092"
"/PRODUCTS/FILM/GrapheneFilm.html","XIHE High-Performance Graphene Heating Module — B2B Technical Specification","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/PRODUCTS/PORTABLES/DeepRecovery.html","XIHE Deep Recovery — Graphene Far-Infrared Wearable Recovery | Spine · Cervical · Knee","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 86 chars"
"/PRODUCTS/PORTABLES/DeepRecovery.html","XIHE Deep Recovery — Graphene Far-Infrared Wearable Recovery | Spine · Cervical · Knee","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.119"
"/PRODUCTS/PORTABLES/DeepRecovery.html","XIHE Deep Recovery — Graphene Far-Infrared Wearable Recovery | Spine · Cervical · Knee","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/PRODUCTS/PORTABLES/DeepRecovery.html","XIHE Deep Recovery — Graphene Far-Infrared Wearable Recovery | Spine · Cervical · Knee","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/PRODUCTS/PORTABLES/NeuralResilience.html","XIHE Neural Resilience — Graphene Photobiomodulation | 9.4μm FIR Eye Mask & Headband","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 84 chars"
"/PRODUCTS/PORTABLES/NeuralResilience.html","XIHE Neural Resilience — Graphene Photobiomodulation | 9.4μm FIR Eye Mask & Headband","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.136"
"/PRODUCTS/PORTABLES/NeuralResilience.html","XIHE Neural Resilience — Graphene Photobiomodulation | 9.4μm FIR Eye Mask & Headband","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/PRODUCTS/PORTABLES/VisceralVitality.html","XIHE Visceral Vitality — Graphene Far-Infrared Waist Pad & Abdominal Belt","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 73 chars"
"/PRODUCTS/PORTABLES/VisceralVitality.html","XIHE Visceral Vitality — Graphene Far-Infrared Waist Pad & Abdominal Belt","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.098"
"/PRODUCTS/PORTABLES/VisceralVitality.html","XIHE Visceral Vitality — Graphene Far-Infrared Waist Pad & Abdominal Belt","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/PRODUCTS/ProductPage.html","Graphene Infrared Products — Professional Recovery Systems & Wearables | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 77 chars"
"/PRODUCTS/ProductPage.html","Graphene Infrared Products — Professional Recovery Systems & Wearables | XIHE","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.108"
"/PRODUCTS/ProductPage.html","Graphene Infrared Products — Professional Recovery Systems & Wearables | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/PRODUCTS/ProductPage.html","Graphene Infrared Products — Professional Recovery Systems & Wearables | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/SCIENCE/Evidence.html","Graphene Infrared Research Hub | Published Studies & Clinical Evidence | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 77 chars"
"/SCIENCE/Evidence.html","Graphene Infrared Research Hub | Published Studies & Clinical Evidence | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/SCIENCE/KNOWLEDGE/bioenergetics/","Bioenergetics | XIHE Knowledge Hub","Missing H1","high","Add one clear H1 that matches the page intent and sits near the top of the main content.","H1 count = 0"
"/SCIENCE/KNOWLEDGE/bioenergetics/","Bioenergetics | XIHE Knowledge Hub","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.128"
"/SCIENCE/KNOWLEDGE/cellular-energy/atp-pain-signaling.html","ATP Depletion and Pain Signaling: How Cellular Energy Influences Chronic Pain Mechanisms | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 95 chars"
"/SCIENCE/KNOWLEDGE/cellular-energy/atp-pain-signaling.html","ATP Depletion and Pain Signaling: How Cellular Energy Influences Chronic Pain Mechanisms | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/SCIENCE/KNOWLEDGE/cellular-energy/atp-study.html","9.4μm FIR and Mitochondrial ATP Pathways — Published Research | XIHE Journal","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 76 chars"
"/SCIENCE/KNOWLEDGE/cellular-energy/atp-study.html","9.4μm FIR and Mitochondrial ATP Pathways — Published Research | XIHE Journal","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/SCIENCE/KNOWLEDGE/cellular-energy/atp-study.html","9.4μm FIR and Mitochondrial ATP Pathways — Published Research | XIHE Journal","Insufficient internal links","medium","Add 3-5 contextual internal links and a related-reading block to strengthen the knowledge graph.","Internal content links = 2"
"/SCIENCE/KNOWLEDGE/cellular-energy/cellular-energy-atp.html","Cellular Energy: ATP and the Foundation of Recovery Science | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 66 chars"
"/SCIENCE/KNOWLEDGE/cellular-energy/cellular-energy-atp.html","Cellular Energy: ATP and the Foundation of Recovery Science | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/SCIENCE/KNOWLEDGE/cellular-energy/central-sensitization-energy.html","Central Sensitization Through an Energy Lens: ATP and Neural Hyperexcitability | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 85 chars"
"/SCIENCE/KNOWLEDGE/cellular-energy/central-sensitization-energy.html","Central Sensitization Through an Energy Lens: ATP and Neural Hyperexcitability | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/SCIENCE/KNOWLEDGE/cellular-energy/","Cellular Energy & ATP | XIHE Knowledge Hub","Missing H1","high","Add one clear H1 that matches the page intent and sits near the top of the main content.","H1 count = 0"
"/SCIENCE/KNOWLEDGE/cellular-energy/","Cellular Energy & ATP | XIHE Knowledge Hub","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.132"
"/SCIENCE/KNOWLEDGE/Clinical-Evidence/","Clinical Evidence | XIHE Knowledge Hub","Missing H1","high","Add one clear H1 that matches the page intent and sits near the top of the main content.","H1 count = 0"
"/SCIENCE/KNOWLEDGE/Clinical-Evidence/","Clinical Evidence | XIHE Knowledge Hub","Low word count","medium","Expand the page or merge it with a better-supported sibling page so it has enough substance to rank.","Word count = 190"
"/SCIENCE/KNOWLEDGE/Clinical-Evidence/","Clinical Evidence | XIHE Knowledge Hub","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.085"
"/SCIENCE/KNOWLEDGE/Clinical-Evidence/pku-clinical-trial.html","PKU Third Hospital Research: 78.3% Measured Outcome — XIHE Journal","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 66 chars"
"/SCIENCE/KNOWLEDGE/Clinical-Evidence/pku-clinical-trial.html","PKU Third Hospital Research: 78.3% Measured Outcome — XIHE Journal","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/SCIENCE/KNOWLEDGE/Clinical-Evidence/pku-clinical-trial.html","PKU Third Hospital Research: 78.3% Measured Outcome — XIHE Journal","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/SCIENCE/KNOWLEDGE/Fatigue/","Chronic Fatigue | XIHE Knowledge Hub","Missing H1","high","Add one clear H1 that matches the page intent and sits near the top of the main content.","H1 count = 0"
"/SCIENCE/KNOWLEDGE/Fatigue/","Chronic Fatigue | XIHE Knowledge Hub","Low text-to-HTML ratio","low","Reduce template chrome or add more substantive body copy so the page carries more crawlable text.","Text/HTML ratio = 0.141"
"/SCIENCE/KNOWLEDGE/Fatigue/why-am-i-always-tired.html","Why Are You Still Tired After Sleeping 8 Hours? | Cellular Energy | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 72 chars"
"/SCIENCE/KNOWLEDGE/Fatigue/why-am-i-always-tired.html","Why Are You Still Tired After Sleeping 8 Hours? | Cellular Energy | XIHE","Missing H1","high","Add one clear H1 that matches the page intent and sits near the top of the main content.","H1 count = 0"
"/SCIENCE/KNOWLEDGE/Fatigue/why-am-i-always-tired.html","Why Are You Still Tired After Sleeping 8 Hours? | Cellular Energy | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/SCIENCE/KNOWLEDGE/Fatigue/why-am-i-always-tired.html","Why Are You Still Tired After Sleeping 8 Hours? | Cellular Energy | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/SCIENCE/KNOWLEDGE/Fatigue/why-do-small-things-make-you-irritable.html","Why Do Small Things Make You So Irritable? | Brain Energy & Emotional Control | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 84 chars"
"/SCIENCE/KNOWLEDGE/Fatigue/why-do-small-things-make-you-irritable.html","Why Do Small Things Make You So Irritable? | Brain Energy & Emotional Control | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/SCIENCE/KNOWLEDGE/Fatigue/why-do-some-people-have-endless-energy.html","Why Do Some People Have Endless Energy? | Mitochondrial Efficiency | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 73 chars"
"/SCIENCE/KNOWLEDGE/Fatigue/why-do-some-people-have-endless-energy.html","Why Do Some People Have Endless Energy? | Mitochondrial Efficiency | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/SCIENCE/KNOWLEDGE/Fatigue/why-do-you-feel-more-tired-after-sleeping-longer.html","Why Do You Feel More Tired After Sleeping Longer? | Oversleeping Fatigue | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 79 chars"
"/SCIENCE/KNOWLEDGE/Fatigue/why-do-you-feel-more-tired-after-sleeping-longer.html","Why Do You Feel More Tired After Sleeping Longer? | Oversleeping Fatigue | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/SCIENCE/KNOWLEDGE/Fatigue/why-do-you-feel-tired-after-lunch.html","Why Do You Feel So Tired After Lunch? | Post-Meal Fatigue | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 64 chars"
"/SCIENCE/KNOWLEDGE/Fatigue/why-do-you-feel-tired-after-lunch.html","Why Do You Feel So Tired After Lunch? | Post-Meal Fatigue | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
"/SCIENCE/KNOWLEDGE/graphene-fir/comparison.html","Graphene Infrared vs Traditional Heating — Technical Comparison | XIHE","Title too long","medium","Trim the title to roughly 50-60 characters while keeping the primary topic near the front.","Title length 70 chars"
"/SCIENCE/KNOWLEDGE/graphene-fir/comparison.html","Graphene Infrared vs Traditional Heating — Technical Comparison | XIHE","Missing Quick Answer","high","Add a 40-120 word Quick Answer block near the top that directly answers the page title question.","Quick Answer string not found"
"/SCIENCE/KNOWLEDGE/graphene-fir/comparison.html","Graphene Infrared vs Traditional Heating — Technical Comparison | XIHE","Missing FAQ block","medium","Add 3-8 FAQ items that address likely follow-up questions and support AI retrieval.","FAQ string not found"
